CARNAME,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power(kW),CO2 emissions(g/km),Emission class,Mileage(km),First registration,Condition,Consumption(l/100km or kWh/100km),Price(EUR),Tags,Engine capacity(ccm),Previous owners
renault arkana,Renault,Arkana,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,103,132,Euro 6,10,12/2023,New,5.3,30699,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Traffic sign recognition,1332.0,1.0
seat leon,Seat,Leon,Grey,Other interior color,Other interior material,Station Wagon,4/5 doors,5.0,Petrol,Manual,4x2,96,121,No emission class,1,9/2023,New,5.3,31949,Digital cockpit; Keyless entry; Integrated music streaming; Keyless ignition; Paddle shifters; Bluetooth; Automatic A/C; Lane assist; Front collision warning system; Multifunctional steering wheel,1498.0,0.0
bmw x1,BMW,X1,Black,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,100,121,Euro 6,86350,6/2017,Used,5.1,21049,Parking assist system self-steering; LED headlights; Keyless entry; Heated front seats; Keyless ignition; Panoramic roof; Voice control; Navigation system; El. tailgate; Sport front seats,1499.0,0.0
toyota rav-4,Toyota,RAV 4,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,129,142,Euro 6,84500,7/2020,Used,6.2,29449,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Heated steering wheel; El. tailgate,1987.0,0.0
renault megane,Renault,Megane,Black,Other interior color,Other interior material,Sedans / saloons,4/5 doors,5.0,Diesel,Automatic,4x2,85,108,No emission class,45075,1/2020,Used,4.7,20549,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,1500.0,0.0
audi a1,Audi,A1,Grey,Grey interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Automatic,4x2,81,112,Euro 6,7800,1/2022,Used,4.9,35349,Digital cockpit; Heated front seats; Navigation system; Bluetooth; Xenon headlights; Rain sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Cornering lights,999.0,1.0
audi q8,Audi,Q8,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Electric,Manual,4x4,250,0,No emission class,10000,5/2023,Used,0.0,105099,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Keyless ignition,1499.0,0.0
kia picanto,Kia,Picanto,Grey,Other interior color,Other interior material,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,63,104,No emission class,352,11/2023,Used,5.5,18899,LED headlights; Keyless entry; Keyless ignition; Voice control; Navigation system; Automatic A/C; Light sensor; Hill-start assist; Multifunctional steering wheel; Daytime running lights,1197.0,0.0
bmw 118,BMW,118,Red,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Automatic,4x2,100,129,Euro 6,26990,11/2021,Used,5.7,23399,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition,1499.0,1.0
toyota corolla-cross,Toyota,Corolla Cross,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Hybrid,Automatic,4x2,145,116,No emission class,1,9/2023,New,5.1,35499,LED headlights; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Heated steering wheel; Rear cross traffic alert (RCTA); Traffic sign recognition,1987.0,0.0
audi a3,Audi,A3,Grey,Other interior color,Other interior material,Hatchback,4/5 doors,5.0,Diesel,Manual,4x2,85,117,No emission class,109097,9/2019,Used,4.4,22649,Bluetooth; Xenon headlights; Sport-suspension system; Automatic A/C; Light sensor; Multifunctional steering wheel; USB; Front electric windows; Alloy wheels,1598.0,0.0
bmw x2,BMW,X2,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x2,110,126,Euro 6,24469,7/2022,Used,4.8,36249,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Heated front seats; Head-up display; Apple CarPlay; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition,1995.0,0.0
opel insignia,Opel,Insignia,White,Black interior,Full leather interior,Station Wagon,4/5 doors,5.0,Petrol,Automatic,4x4,239,277,Euro 5,145987,4/2011,Used,11.7,12899,Electric adjustable front seats; Heated front seats; Voice control; Navigation system; El. tailgate; Bi-xenon headlights; Bluetooth; Sport-suspension system; Leather; Automatic A/C,2792.0,0.0
volkswagen caddy,Volkswagen,Caddy,White,Black interior,Part leather interior,Cargo VAN,4/5 doors,5.0,Diesel,Manual,4x2,75,126,Euro 6,135458,7/2018,Used,4.8,14749,Adaptive cruise control; Hill-start assist; Front collision warning system; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; On-board computer; Start-stop system; USB,1968.0,1.0
renault clio,Renault,Clio,Blue,Beige interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,66,112,Euro 6,13521,5/2022,Used,5.2,18599,Navigation system; Traffic sign recognition; Automatic A/C; Rain sensor; Hill-start assist; Daytime running lights,999.0,1.0
seat leon,Seat,Leon,Grey,Other interior color,Other interior material,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,110,117,No emission class,60016,12/2020,Used,4.9,23149,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,1500.0,0.0
hyundai i30,Hyundai,i30,Brown,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,74,141,Euro 6,117630,1/2019,Used,6.2,13549,Bluetooth; Hill-start assist; Multifunctional steering wheel; Daytime running lights; Electrically heated side mirrors; USB; Front electric windows; Rear electric windows,1368.0,0.0
cupra formentor,Cupra,Formentor,Grey,Black interior,Part leather interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,110,126,Euro 6,20,9/2023,New,5.5,36249,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition,1498.0,0.0
fiat 500,Fiat,500,White,Black interior,Cloth interior,Hatchback,2/3 doors,4.0,Petrol,Manual,4x2,51,88,Euro 6,29214,5/2022,Used,4.7,16399,Voice control; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; On-board computer; Start-stop system; USB; AUX,999.0,0.0
skoda octavia,Skoda,Octavia,Grey,Other interior color,Other interior material,Station Wagon,4/5 doors,5.0,Diesel,Automatic,4x2,110,119,No emission class,135367,1/2019,Used,4.5,16949,Bluetooth; Automatic A/C; Multifunctional steering wheel; On-board computer; Start-stop system; Front electric windows; Alloy wheels,1968.0,0.0
mercedes-benz a-180,Mercedes-Benz,A 180,Silver,Other interior color,Other interior material,Hatchback,4/5 doors,5.0,Diesel,Automatic,4x2,85,103,No emission class,102104,12/2019,Used,3.9,28349,Heated front seats; Bluetooth; Automatic A/C; Rain sensor; Multifunctional steering wheel; USB; Front electric windows; Alloy wheels,1461.0,0.0
mercedes-benz glc-300,Mercedes-Benz,GLC 300,White,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x4,180,151,Euro 6,80000,3/2021,Used,5.7,46049,Bluetooth; Multifunctional steering wheel; Daytime running lights; Front electric windows; Alloy wheels,1950.0,0.0
dacia sandero,Dacia,Sandero,Red,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Manual,4x2,64,169,Euro 4,53000,1/2011,Used,7.3,5399,Bluetooth; Side mirrors with electic adjustment; Leather steering wheel; On-board computer; Ambient lighting; CD player; USB; Front electric windows; Alloy wheels,1598.0,1.0
skoda octavia,Skoda,Octavia,Blue,Black interior,Full leather interior,Station Wagon,4/5 doors,5.0,Hybrid,Automatic,4x2,150,117,Euro 6,37401,7/2021,Used,5.5,32049,Driver's seat with massage function; Ventilated front seats; Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control,1395.0,1.0
opel astra,Opel,Astra,Black,Black interior,Cloth interior,Station Wagon,4/5 doors,5.0,Diesel,Automatic,4x2,90,112,Euro 6d-TEMP,67286,3/2021,Used,4.2,16349,Parking assist system self-steering; LED headlights; Heated front seats; Integrated music streaming; Navigation system; Heated steering wheel; Sport front seats; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning,1496.0,1.0
renault clio,Renault,Clio,Brown,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Automatic,4x2,88,120,Euro 5,40600,2/2015,Used,5.0,11399,Digital cockpit; Smart key; Keyless ignition; Navigation system; Heated steering wheel; El. tailgate; Bluetooth; Automatic A/C; Automatic lights; Rain sensor,1197.0,1.0
citroen c5-aircross,Citroen,C5 Aircross,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,96,119,Euro 6,60729,1/2019,Used,5.3,19199,Heated rear seats; Heated front seats; Automatic A/C; Lane assist; Full service history; USB; Front electric windows,1199.0,0.0
toyota bz4x,Toyota,bZ4X,Blue,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Electric,Automatic,4x2,160,0,Euro 6,7989,8/2023,Used,0.0,49149,Heated front seats; Head-up display; Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Traffic sign recognition; Bluetooth; Rear parking camera; Adaptive lighting,1499.0,0.0
porsche taycan,Porsche,Taycan,Black,Other interior color,Other interior material,Station Wagon,4/5 doors,5.0,Electric,Automatic,4x4,420,0,No emission class,30843,11/2021,Used,24.7,114599,Navigation system; Parking sensors,1499.0,0.0
skoda superb,Skoda,Superb,Yellow,Black interior,Part leather interior,Station Wagon,4/5 doors,5.0,Petrol,Automatic,4x4,206,163,Euro 6d-TEMP,18400,5/2023,Used,7.2,49849,Heated rear seats; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof,1984.0,0.0
renault scenic,Renault,Scenic,Grey,Black interior,Part leather interior,MPV,4/5 doors,5.0,Diesel,Automatic,4x2,81,124,Euro 5,150545,6/2011,Used,5.0,7699,Keyless entry; Bose audio; Heated front seats; Keyless ignition; Voice control; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Light sensor,1461.0,2.0
renault koleos,Renault,Koleos,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x4,135,0,No emission class,23560,2/2022,Used,0.0,39849,Bose audio,1997.0,0.0
volkswagen golf,Volkswagen,Golf,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,Petrol,Automatic,4x2,96,110,Euro 6,69792,12/2018,Used,4.8,19949,Navigation system; Bluetooth; Rear parking camera; Sport-suspension system; Automatic A/C; Parking sensors; Multifunctional steering wheel; Daytime running lights; Electrically heated side mirrors; Automatic parking brake,1498.0,1.0
peugeot 2008,Peugeot,2008,Grey,Other interior color,Part leather interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,96,115,No emission class,28068,11/2019,Used,5.0,17349,Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Integrated music streaming; Panoramic roof; Navigation system; Sport front seats; Bluetooth; Automatic 2-zones air conditioning,1199.0,0.0
bmw 430,BMW,430,Grey,Other interior color,Alcantara interior,Sedans / saloons,2/3 doors,5.0,Diesel,Automatic,4x4,193,145,No emission class,88619,10/2017,Used,5.5,31399,Navigation system; Glare-free high beam headlights; Paddle shifters; Sport front seats; Alcantara interior; Leather steering wheel; Alloy wheels,2993.0,0.0
renault talisman,Renault,Talisman,Black,Black interior,Part leather interior,Station Wagon,4/5 doors,5.0,Diesel,Automatic,4x2,118,133,Euro 6d-TEMP,45420,10/2021,Used,5.0,29599,Driver's seat with massage function; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; Voice control,1997.0,0.0
mercedes-benz cla-180,Mercedes-Benz,CLA 180,Black,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5.0,Petrol,Automatic,4x2,100,126,Euro 6d,44295,5/2020,Used,5.5,34949,Parking assist system self-steering; Digital cockpit; Heated front seats; Integrated music streaming; Voice control; Navigation system; Paddle shifters; Traffic sign recognition; Bluetooth; Automatic A/C,1332.0,0.0
audi q3,Audi,Q3,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x2,110,124,Euro 6,71090,1/2021,Used,4.7,32499,Digital cockpit; Bluetooth; Rear parking camera; Automatic A/C; Rain sensor; Hill-start assist; Autom. dimming side mirros; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,1968.0,1.0
hyundai tucson,Hyundai,Tucson,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x2,110,125,Euro 6d-TEMP,20800,1/2023,Used,5.5,33549,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; WLAN/Wifi hotspot; Keyless ignition; Voice control; Navigation system,1598.0,1.0
bmw x5-m,BMW,X5 M,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x4,390,291,Euro 6,13290,11/2022,Used,12.8,121849,Laser headlights; Driver's seat with massage function; Ventilated front seats; Air suspension; Parking assist system self-steering; Digital cockpit; Keyless entry; Smart key; Electric adjustable front seats; Adaptive cruise control,4395.0,0.0
kia ev9,Kia,EV9,White,Other interior color,Full leather interior,SUV / offroad,4/5 doors,7.0,Electric,Automatic,4x4,283,0,No emission class,9999,11/2023,Demonstration car,0.0,79649,Driver's seat with massage function; Ventilated front seats; Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,1499.0,0.0
abarth 695,Abarth,695,Black,Black interior,Full leather interior,Hatchback,2/3 doors,4.0,Petrol,Automatic,4x2,132,0,Euro 6d-TEMP,1,9/2023,New,5.5,35849,Digital cockpit; Electric adjustable front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Sport front seats; Bi-xenon headlights; Bluetooth,1368.0,0.0
suzuki jimny,Suzuki,Jimny,Grey,Black interior,Cloth interior,SUV / offroad,2/3 doors,2.0,Petrol,Manual,4x4,75,173,Euro 6d-TEMP,500,7/2023,Demonstration car,7.7,28299,Heated front seats; Traffic sign recognition; Bluetooth; High beam assist; Light sensor; Lane assist; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; Fatigue warning system,1462.0,1.0
land-rover defender,Land Rover,Defender,Grey,Brown interior,Full leather interior,SUV / offroad,4/5 doors,5.0,Petrol,Automatic,4x4,386,290,Euro 6,50,11/2023,New,14.8,136699,Ventilated front seats; Heated rear seats; Air suspension; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Meridian audio; Heated front seats,5000.0,0.0
kia sportage,Kia,Sportage,Grey,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Hybrid,Automatic,4x2,110,0,Euro 6,4971,7/2023,Used,4.6,31749,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Heated steering wheel; Bluetooth; Automatic 2-zones air conditioning; High beam assist,1598.0,0.0
fiat tipo,Fiat,Tipo,Brown,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5.0,Petrol,Manual,4x2,70,144,Euro 6,38000,1/2021,Used,6.3,13999,Bluetooth; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; USB; Front electric windows,1368.0,0.0
bmw x3,BMW,X3,Silver,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,Diesel,Automatic,4x4,170,148,Euro 6,67854,2/2019,Used,5.6,38949,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; WLAN/Wifi hotspot; Keyless ignition; Panoramic roof; Navigation system; Paddle shifters; Sport front seats,1995.0,2.0
volkswagen t-roc,Volkswagen,T-Roc,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,Petrol,Manual,4x2,81,119,No emission class,77217,5/2021,Used,6.0,21799,Bluetooth; USB,999.0,0.0
audi a5,Audi,A5,Blue,Black interior,Alcantara interior,Sedans / saloons,2/3 doors,5.0,Diesel,Automatic,4x2,150,134,Euro 6,9800,10/2022,Used,5.1,41749,Digital cockpit; Keyless entry; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Keyless ignition; Automatic multi-zone A/C; Navigation system; Paddle shifters,1968.0,1.0
seat leon,Seat,Leon,Grey,Other interior color,Other interior material,Station Wagon,4/5 doors,5.0,Petrol,Automatic,4x2,110,117,Euro 6,1,9/2023,New,5.1,28049,LED headlights; Keyless entry; Keyless ignition; Bluetooth; Lane assist; Front collision warning system; Multifunctional steering wheel; Side mirrors with electic adjustment; Leather steering wheel; Automatic parking brake,1498.0,0.0
